book_id,category,score
0,tween,0.4271
0,school,0.24695
0,new,0.254933333
0,men,0.343857143
0,criticism,0.4939
0,ai,0.094620588
0,mm,0.52966
0,work,0.21595
0,movies,0.7678
0,story,0.3506
0,writers,0.5256
0,place,0.0759
0,law,0.25
0,writing,0.462825
0,fantasy,0.8779
0,modern,0.25
0,mind,0.3753
0,memory,0.2629
0,warming,0.8442
0,wtf,0.8755
0,ill,0.083478
0,life,0.1845625
0,child,0.00655
0,elves,0.37895
0,character,0.221533333
0,dreams,0.967
0,marketing,0.25
0,war,0.076418182
0,form,0.00095
0,emotional,0.43435
0,time,0.229379167
0,studies,0.7414
0,humour,0.4181
0,black,0.2023
0,cat,0.51045
0,sk,0.07535
0,theory,0.3612
0,teachers,0.2716
0,angst,0.465466667
0,contemporary,0.25
0,personal,0.7506
0,pow,0.028614286
0,arts,0.243476923
0,design,0.7425
0,action,0.26592
0,family,0.967
0,teen,0.212133333
0,history,0.5003
0,beautiful,0.5478
0,adventure,0.6201
0,short,0.17135
0,ya,0.52864
0,mystery,0.6369
0,reason,0.605925
0,fantastical,0.4588
0,art,0.132374359
0,movie,0.6533
0,development,0.7809
0,world,0.4089
0,epic,0.28595
0,faith,0.924
0,drama,0.3382
0,age,0.119063636
0,literary,0.6369
0,magic,0.080666667
0,wit,0.146679545
0,econ,0.226133333
0,baby,0.13895
0,labor,0.924
0,kindness,0.7129
0,books,0.180223529
0,eco,0.311633333
0,scary,0.5936
0,diversity,0.6369
0,film,0.0826
0,thrill,0.25
0,meta,0.5267
0,friends,0.0936
1,tween,0.15135
1,school,0.0252
1,men,0.22108
1,china,0.4782
1,mm,0.234622727
1,work,0.126077778
1,movies,0.5774
1,story,0.244064706
1,law,0.8625
1,sons,0.487533333
1,girls,0.277766667
1,fiction,0.0951
1,evil,0.6263
1,dystopian,0.178333333
1,mind,0.009772727
1,memory,0.2516
1,disaster,0.6759
1,nature,0.802
1,ill,0.060838
1,child,0.033542857
1,human,0.269088889
1,character,0.180810526
1,unique,0.3597
1,post-apocalyptic,0.1956
1,popular,0.4215
1,war,0.171707692
1,form,0.40105
1,TRUE,0.00685
1,emotional,0.018233333
1,nz,0.36755
1,conditions,0.6249
1,time,0.311281818
1,weird,0.0103
1,cat,0.3772125
1,trans,0.7717
1,sk,0.148861538
1,cute,0.5331
1,realistic,0.3544
1,play,0.049957143
1,latin,0.572633333
1,beauty,0.9678
1,space,0.8519
1,intuition,0.2732
1,television,0.2716
1,walking,0.3818
1,wonder,0.068033333
1,teens,0.2637
1,uk,0.5423
1,arts,0.193
1,spirit,0.00924
1,intense,0.58545
1,food,0.07702
1,thinking,0.15915
1,dark,0.9678
1,general,0.4939
1,children,0.06808
1,horror,0.9678
1,action,0.36775
1,family,0.7409
1,teen,0.075657143
1,beautiful,0.83445
1,adventure,0.13875
1,short,0.049366667
1,eating,0.0611
1,ya,0.360433333
1,mental,0.724466667
1,reason,0.6597
1,art,0.083728947
1,movie,0.28752
1,secrets,0.7351
1,prose,0.7717
1,strategy,0.6249
1,dystopias,0.1779
1,lds,0.550433333
1,world,0.3768375
1,epic,0.4215
1,faith,0.2247
1,dystopia,0.118816667
1,drama,0.8074
1,boys,0.46435
1,age,0.107317241
1,body,0.61445
1,alaska,0.3182
1,wit,0.065895161
1,action-packed,0.9246
1,econ,0.383585714
1,archer,0.296
1,united,0.4215
1,animal,0.0412
1,kindness,0.7184
1,society,0.068977778
1,books,0.258907143
1,eco,0.362275
1,wolves,0.1179
1,manga,0.8519
1,romantic,0.4939
1,evolution,0.24535
1,antisocial,0.2732
1,romance,0.195675
1,film,0.5383
1,passion,0.0516
1,friends,0.25935
2,tween,0.27575
2,new,0.034025
2,criticism,0.7579
2,work,0.166866667
2,story,0.386325
2,aging,0.3066
2,sons,0.4215
2,writing,0.524725
2,girls,0.3182
2,fiction,0.4206
2,western,0.7351
2,memory,0.1779
2,infertility,0.7173
2,fertility,0.7173
2,pets,0.7003
2,life,0.300222222
2,experience,0.5097
2,psych,0.9707
2,character,0.096925
2,birth,0.9248
2,humor,0.9707
2,form,0.7262
2,TRUE,0.5609
2,emotional,0.5859
2,journey,0.5859
2,time,0.257623529
2,weird,0.0942
2,cat,0.3149
2,realistic,0.22595
2,language,0.21075
2,wonder,0.208616667
2,pow,0.227633333
2,learning,0.4588
2,west,0.7351
2,running,0.21075
2,thinking,0.49325
2,dark,0.8885
2,image,0.7003
2,homeless,0.4215
2,mothers,0.4215
2,racing,0.7678
2,action,0.8923
2,family,0.9248
2,languages,0.4215
2,beautiful,0.839414286
2,coming,0.0471
2,short,0.7579
2,dragon,0.1779
2,eating,0.3597
2,ya,0.188075
2,friendship,0.745775
2,fantastical,0.5719
2,theft,0.210966667
2,art,0.31845625
2,sex,0.0673
2,culture,0.46714
2,secrets,0.8885
2,foreign,0.5609
2,political,0.7351
2,fathers,0.4215
2,epic,0.9707
2,boys,0.64445
2,age,0.17916
2,odd,0.0944
2,business,0.8885
2,usa,0.4767
2,econ,0.2083
2,educational,0.4019
2,society,0.9707
2,entertainment,0.0942
2,eco,0.242833333
2,wizard,0.0942
2,soldiers,0.4411
2,plague,0.2023
2,education,0.4019
2,friends,0.468728571
2,inspiration,0.5267
3,tween,0.7748
3,school,0.2294
3,new,0.13096
3,men,0.056576923
3,military,0.8481
3,mm,0.046226316
3,work,0.15314
3,aging,0.6249
3,place,0.11658
3,writing,0.094918182
3,cree,0.31335
3,tales,0.7906
3,philosophical,0.0258
3,relations,0.53365
3,comic,0.4676
3,fiction,0.69185
3,historical,0.39855
3,conflict,0.6369
3,mind,0.0613
3,nature,0.2263
3,ill,0.172036842
3,child,0.20978
3,elves,0.413166667
3,experience,0.041888889
3,character,0.192675862
3,people,0.211092857
3,civil,0.0516
3,form,0.114075
3,TRUE,0.6369
3,emotional,0.8176
3,classic,0.7579
3,journey,0.8481
3,time,0.11605
3,international,0.9271
3,sf,0.30765
3,realism,0.3472
3,play,0.0191
3,language,0.0566
3,childhood,0.5719
3,tragic,0.3581
3,suspense,0.31845
3,fictitious,0.2732
3,wonder,0.624690909
3,fictions,0.7713
3,personal,0.095966667
3,pow,0.3198125
3,arts,0.081385714
3,spirit,0.72565
3,general,0.3472
3,children,0.2771
3,illustrated,0.7906
3,tragedy,0.1511
3,creepy,0.9227
3,action,0.2136
3,family,0.8004
3,beautiful,0.5548
3,coming,0.370325
3,ya,0.34095
3,friendship,0.68155
3,health,0.9271
3,storytelling,0.13035
3,art,0.198537838
3,daughters,0.4019
3,historic,0.39855
3,inspirational,0.7717
3,epic,0.9271
3,drama,0.63715
3,literary,0.3708
3,magic,0.8316
3,depression,0.0258
3,wit,0.025004255
3,econ,0.208628571
3,abuse,0.8481
3,books,0.03575625
3,eco,0.173272222
3,disease,0.2263
3,national,0.9271
3,romance,0.5574
3,film,0.7906
3,thrill,0.0516
3,allegory,0.0258
3,stories,0.485566667
3,friends,0.69704
3,inspiration,0.7717
4,relationships,0.8345
4,tween,0.371825
4,hilarious,0.34
4,school,0.7783
4,new,0.004925
4,men,0.22906875
4,kids,0.3527
4,ai,0.297303571
4,mm,0.10762
4,movies,0.37492
4,story,0.248866667
4,place,0.2668
4,sons,0.2874
4,office,0.3612
4,relations,0.85605
4,mind,0.3855
4,artificial,0.5574
4,ill,0.031281579
4,life,0.6765
4,elves,0.4404
4,character,0.320275
4,war,0.4419625
4,form,0.45822
4,weird,0.528425
4,humour,0.7845
4,cat,0.438625
4,sk,0.073975
4,cute,0.8345
4,play,0.34
4,suspense,0.7845
4,arts,0.350442857
4,intense,0.6249
4,family,0.354633333
4,history,0.3468
4,beautiful,0.8728
4,airplane,0.4019
4,adventure,0.2023
4,coming,0.75215
4,short,0.8555
4,eating,0.6605
4,ya,0.7125
4,mystery,0.62085
4,friendship,0.9509
4,reason,0.191275
4,art,0.3131
4,movie,0.2362
4,secrets,0.581133333
4,flight,0.2023
4,funny,0.776733333
4,development,0.405866667
4,lds,0.855
4,world,0.158733333
4,epic,0.44155
4,faith,0.7783
4,age,0.25732
4,odd,0.0127
4,body,0.151633333
4,wit,0.129966667
4,rock,0.32985
4,books,0.520675
4,romance,0.3469
4,friends,0.5766
5,tween,0.81125
5,teaching,0.6697
5,school,0.3769625
5,prize,0.5106
5,summer,0.0129
5,new,0.1531
5,men,0.203258065
5,psychological,0.50645
5,ai,0.038325862
5,mm,0.25936
5,work,0.40718
5,movies,0.6203
5,travel,0.3818
5,law,0.133966667
5,sons,0.78575
5,cree,0.6369
5,humanity,0.8508
5,crimes,0.7569
5,god,0.23775
5,fantasy,0.0279
5,collapse,0.7351
5,evil,0.129145455
5,modern,0.4588
5,ill,0.115998182
5,psych,0.50645
5,character,0.257116129
5,unique,0.09
5,people,0.062
5,war,0.23297
5,form,0.385633333
5,TRUE,0.225416667
5,emotional,0.5574
5,journey,0.6588
5,time,0.00613913
5,cat,0.40095
5,trans,0.2263
5,heartbreaking,0.8508
5,sk,0.35708
5,sf,0.2263
5,realistic,0.555533333
5,realism,0.2732
5,play,0.170675
5,living,0.37805
5,theory,0.2003
5,crime,0.7569
5,pow,0.0198
5,arts,0.045433333
5,intense,0.2133
5,food,0.3612
5,magical,0.165366667
5,death,0.1579
5,thinking,0.2732
5,dark,0.2111875
5,leadership,0.579
5,disabilities,0.6369
5,image,0.6124
5,general,0.043133333
5,rights,0.92705
5,action,0.0772
5,family,0.0258
5,beautiful,0.872633333
5,coming,0.101475
5,ya,0.022133333
5,mental,0.296
5,art,0.180402703
5,movie,0.1479
5,corruption,0.0772
5,political,0.4767
5,funny,0.726225
5,development,0.0726
5,lds,0.012
5,world,0.318970588
5,slave,0.296
5,epic,0.17265
5,boys,0.2714
5,exploration,0.3818
5,age,0.039663333
5,race,0.144
5,odd,0.2023
5,body,0.36755
5,wit,0.04042
5,econ,0.480066667
5,baby,0.1748
5,books,0.1749125
5,eco,0.074277778
5,scary,0.4939
5,inspiring,0.93
5,myth,0.3643
5,bildungsroman,0.4588
5,thrill,0.7366
5,stories,0.3612
5,friends,0.294375
6,paris,0.6128
6,teaching,0.47255
6,school,0.00576
6,new,0.4533
6,men,0.214910417
6,kids,0.2294
6,ai,0.120663014
6,demon,0.6199
6,mm,0.289778571
6,work,0.2114
6,story,0.357647619
6,aging,0.6705
6,aching,0.47255
6,law,0.1212
6,sons,0.6858
6,writing,0.101
6,humanity,0.0987
6,relations,0.032771429
6,historical,0.5023
6,mind,0.185133333
6,warming,0.4404
6,reference,0.6479
6,1960s,0.28375
6,ill,0.035623333
6,families,0.7717
6,child,0.098752941
6,elves,0.30636
6,experience,0.409775
6,human,0.12802
6,character,0.416685
6,cultural,0.6249
6,birth,0.26015
6,unique,0.65485
6,dreams,0.9758
6,people,0.0924875
6,humor,0.6808
6,holiday,0.4019
6,war,0.31862
6,form,0.29465
6,TRUE,0.267433333
6,emotional,0.3535
6,brothers,0.4256
6,time,0.197140909
6,black,0.084436364
6,cat,0.2285875
6,southern,0.08715
6,sk,0.411833333
6,police,0.7769
6,play,0.25115
6,living,0.361271429
6,anti-social,0.4019
6,future,0.31245
6,20s,0.6705
6,sad,0.0184
6,college,0.15368
6,wonder,0.3347
6,personal,0.4196
6,pow,0.35549
6,spirit,0.359125
6,running,0.7769
6,thinking,0.196333333
6,grammar,0.636
6,aids,0.23336875
6,children,0.09534
6,witnesses,0.34
6,teen,0.4939
6,town,0.272775
6,science,0.20554
6,history,0.418033333
6,beautiful,0.770033333
6,coming,0.2321
6,short,0.4019
6,eating,0.225466667
6,research,0.8074
6,reason,0.6858
6,fantastical,0.8561
6,art,0.126882353
6,culture,0.3235
6,individual,0.682775
6,sea,0.01498
6,movie,0.8015
6,demons,0.6199
6,secrets,0.9063
6,behavior,0.4019
6,funny,0.587185714
6,maids,0.23336875
6,historic,0.5023
6,world,0.397883333
6,religion,0.0258
6,faith,0.4215
6,boys,0.5719
6,genetics,0.6712
6,age,0.083294737
6,alien,0.75735
6,gender,0.6287
6,race,0.14159
6,odd,0.9758
6,values,0.4019
6,body,0.2235
6,wit,0.17502619
6,usa,0.21255
6,econ,0.3612
6,women,0.326345
6,educational,0.0881
6,kindness,0.630133333
6,books,0.48428
6,eco,0.295038462
6,south,0.164533333
6,natural,0.4201
6,career,0.3612
6,kitchen,0.4019
6,strange,0.2341
6,adoption,0.279
6,thrill,0.6479
6,middle-aged,0.4588
6,stories,0.145616667
6,education,0.0881
7,school,0.4576
7,men,0.104995
7,ai,0.109975
7,work,0.8316
7,story,0.202254545
7,place,0.0293
7,sons,0.296
7,writing,0.2563
7,god,0.2732
7,fiction,0.9081
7,western,0.26812
7,mind,0.267233333
7,medical,0.7096
7,life,0.218688889
7,child,0.144252941
7,experience,0.09118
7,human,0.447425
7,character,0.062071429
7,popular,0.8074
7,emotional,0.66125
7,classic,0.2732
7,conditions,0.3612
7,time,0.065983333
7,affair,0.4576
7,graphic,0.7096
7,cat,0.618025
7,trans,0.2352
7,sk,0.18525
7,opera,0.8316
7,living,0.3612
7,beauty,0.356733333
7,language,0.784
7,childhood,0.10135
7,future,0.802
7,wonder,0.500766667
7,teens,0.4588
7,pow,0.44765
7,arts,0.308133333
7,west,0.26812
7,sisterhood,0.2023
7,spirit,0.52885
7,feminist,0.5023
7,feminism,0.2261
7,politics,0.0482
7,taliban,0.296
7,children,0.50825
7,rights,0.2732
7,teen,0.2294
7,beautiful,0.61464
7,hopeless,0.2732
7,ya,0.0597
7,mental,0.3612
7,reason,0.296
7,art,0.134961538
7,century,0.3612
7,funny,0.5994
7,lds,0.3612
7,world,0.027446154
7,baseball,0.9565
7,literary,0.6369
7,odd,0.2732
7,business,0.01
7,justice,0.0999
7,wit,0.169376923
7,usa,0.591128571
7,econ,0.034125
7,women,0.260758333
7,educational,0.9565
7,books,0.41
7,surreal,0.7177
7,meta,0.9565
7,stories,0.03748
7,education,0.9565
8,new,0.108733333
8,men,0.194577778
8,ai,0.246848936
8,demon,0.2732
8,mm,0.25591875
8,work,0.16885
8,story,0.22939375
8,place,0.160514286
8,sons,0.0972
8,writing,0.175733333
8,god,0.2732
8,fantasy,0.2144
8,philosophical,0.8803
8,fiction,0.08935
8,tech,0.2164
8,novelists,0.204
8,disaster,0.1935
8,nature,0.1166
8,ill,0.234227273
8,life,0.127552941
8,child,0.573233333
8,experience,0.8126
8,psych,0.4576
8,human,0.4588
8,character,0.3982
8,dreams,0.4019
8,people,0.240190909
8,humor,0.3186
8,war,0.04474
8,form,0.5423
8,tigers,0.7066
8,TRUE,0.9078
8,journey,0.401166667
8,time,0.0600125
8,spiritual,0.61635
8,humour,0.9274
8,cat,0.50844
8,sk,0.22652
8,cute,0.7066
8,brain,0.5267
8,factual,0.0258
8,realism,0.5849
8,play,0.8126
8,fictitious,0.2732
8,wonder,0.6146
8,pow,0.3802
8,arts,0.159133333
8,spirit,0.4186
8,food,0.9274
8,magical,0.11185
8,money,0.8779
8,thinking,0.3829
8,general,0.4851
8,religious,0.1793
8,children,0.8813
8,beautiful,0.805066667
8,scifi,0.2144
8,adventure,0.39028
8,coming,0.6184
8,ethics,0.7764
8,psychology,0.4576
8,art,0.127944118
8,sea,0.207927273
8,movie,0.476066667
8,demons,0.2732
8,prose,0.7645
8,century,0.4404
8,humorous,0.577333333
8,religion,0.09692
8,faith,0.325281818
8,age,0.284408333
8,literary,0.7351
8,magic,0.11185
8,odd,0.12625
8,plays,0.8126
8,wit,0.102752083
8,usa,0.3716
8,shipwreck,0.360333333
8,econ,0.27505
8,animals,0.17
8,island,0.195325
8,native,0.6597
8,animal,0.190542857
8,memoir,0.3897
8,mute,0.5574
8,rock,0.6705
8,books,0.10808
8,eco,0.31095
8,natural,0.0772
8,meta,0.462075
8,friends,0.5729
8,inspiration,0.6996
9,relationships,0.43
9,paris,0.2516
9,tween,0.080825
9,new,0.086988235
9,men,0.10179
9,intrigue,0.6705
9,ai,0.061918182
9,mm,0.157322222
9,story,0.092441667
9,jungle,0.1779
9,writing,0.45515
9,revenge,0.4215
9,relations,0.210825
9,fiction,0.166075
9,fashion,0.3182
9,conflict,0.09295
9,mind,0.278675
9,chemistry,0.7808
9,accident,0.20385
9,ill,0.038381633
9,games,0.13035625
9,life,0.0591
9,families,0.3612
9,child,0.295966667
9,human,0.4008
9,character,0.202419048
9,people,0.205616667
9,popular,0.5409
9,war,0.01596
9,TRUE,0.1399
9,emotional,0.40665
9,juvenile,0.4699
9,classic,0.288866667
9,suicide,0.2023
9,ancient,0.25
9,weird,0.0507
9,cat,0.4006
9,trans,0.2017
9,sk,0.009166667
9,play,0.08024
9,childhood,0.48955
9,fictitious,0.5574
9,contemporary,0.5994
9,wonder,0.48955
9,pow,0.433075
9,arts,0.064
9,magical,0.4804
9,feminist,0.6398
9,children,0.105433333
9,action,0.142725
9,family,0.23905
9,adventure,0.7257
9,coming,0.529633333
9,eating,0.103266667
9,reason,0.333125
9,heads,0.4939
9,youth,0.3182
9,sea,0.3818
9,movie,0.172277778
9,political,0.046833333
9,strategy,0.1779
9,behavior,0.5233
9,development,0.5306
9,world,0.069288889
9,loss,0.4804
9,thriller,0.7257
9,alien,0.5859
9,literary,0.8481
9,magic,0.4804
9,business,0.3612
9,vampire,0.44115
9,body,0.30656
9,poverty,0.659
9,wit,0.079189286
9,action-packed,0.6908
9,rock,0.3182
9,kindness,0.3612
9,books,0.1181
9,eco,0.055283333
9,princess,0.7269
9,natural,0.369166667
9,absurd,0.5233
9,romantic,0.167466667
9,warrior,0.1562
9,orange,0.4019
9,reporting,0.5542
9,government,0.2427
9,thrill,0.446866667
9,passion,0.714
10,new,0.2172
10,intrigue,0.4005
10,criticism,0.9427
10,psychological,0.4215
10,ai,0.062356627
10,music,0.04234
10,demon,0.5106
10,work,0.1603
10,movies,0.39225
10,story,0.321377143
10,aging,0.4005
10,travel,0.170841791
10,beach,0.6361
10,law,0.0844
10,diary,0.064
10,cree,0.61706
10,book-to-movie,0.7469
10,fantasy,0.4366
10,philosophical,0.9022
10,relations,0.186645
10,fiction,0.41726
10,modern,0.2838
10,mind,0.11457
10,medical,0.0232
10,marvel,0.6115
10,saga,0.4215
10,novelists,0.5106
10,reference,0.118666667
10,ill,0.021256098
10,life,0.089531818
10,elves,0.34705
10,experience,0.3815
10,psych,0.4215
10,human,0.45435
10,character,0.122785185
10,unique,0.08255
10,dreams,0.32985
10,people,0.34345
10,humor,0.7184
10,sci-fi,0.146566667
10,war,0.267507692
10,form,0.676233333
10,TRUE,0.47135
10,time,0.202715596
10,affair,0.29435
10,time-travelling,0.49365
10,weird,0.127
10,black,0.4926
10,cat,0.508325
10,trans,0.388566667
10,heroes,0.5106
10,sk,0.13775
10,cognition,0.08985
10,realistic,0.251433333
10,realism,0.4927
10,play,0.289790909
10,latin,0.4359
10,living,0.4148
10,space,0.296
10,language,0.07304
10,punk,0.394175
10,virgin,0.5946
10,future,0.167661905
10,20s,0.4404
10,sad,0.2963
10,wonder,0.038108333
10,personal,0.5946
10,pow,0.4019
10,arts,0.161525
10,dark,0.05775
10,children,0.66225
10,rights,0.4019
10,racing,0.0129
10,creepy,0.3021
10,action,0.4019
10,family,0.42045
10,science,0.19655
10,beautiful,0.733766667
10,adventure,0.7331
10,coming,0.4251
10,short,0.436
10,ya,0.12202
10,health,0.7845
10,reason,0.028533333
10,heads,0.2732
10,youth,0.1027
10,doctors,0.631
10,art,0.177561702
10,sex,0.152333333
10,sea,0.08905
10,movie,0.4533
10,demons,0.5106
10,foreign,0.5829
10,behavior,0.7964
10,century,0.3079
10,world,0.28525
10,bio,0.128
10,loss,0.00745
